question,correct_answer,wrong_answer
what is middle class in the us,There is no official definition of middle class in the United States.,"['For most of the 20th century, middle-class defined households in the United States as those with average incomes.', 'In the United States, the ""middle class"" has been used to refer to those households whose annual income is in the middle deciles of the national distribution of income.', 'The Middle Class was a social class in the USSR, defined by the law adopted in 1']"
what is middle class in the us,There is no official definition of middle class in the United States.,"['In the U.S., the middle class is commonly defined as households with incomes between $35,000 and $100,000.', 'The US middle class tends to make more money than the poor but less than the rich.', 'As of 2014, the Pew Research Center defines middle income in the United States as an annual income between $42,000 and $126,000 for a family of three.']"
what is middle class in the us,There is no official definition of middle class in the United States.,"['According to the US Census Bureau, a household with income between $45,323 and $97,289 in 2010 had a median annual income of $64,512, meaning half of', 'The term middle class is usually used to identify a large group of people living in society.', 'In the United States of America, a class is the economic, social, or social group comprising']"
what is considered to be a disasters,"Disaster, usually a disastrous event, is defined by the United Nations as ""a serious disruption in the functioning of a community, which is characterized by high human, material, and economic damages and large-scale community dis","['disaster, tragedy or catastrophe in any field.', 'A disaster is not defined by the severity of its impacts or by its ability to kill or injure people, as most people think.', 'Disasters and disaster management.']"
What is firebird server,Firebird Server is a relational database management system distributed under the terms of the Mozilla Public License (or MPL).,"['FireBird is a free open source object-relational database management system with a 100% ANSI-standard SQL compliant query language.', 'FIREBIRD (FIREBIRD SQL Server ) is a relational database management', 'Apache Derby, also known as the Firebird database, is an object-relational database management system (ORDBMS) written in C++ and with its own interpreter language.']"
What is firebird server,Firebird Server is a relational database management system distributed under the terms of the Mozilla Public License (or MPL).,"['FIREBIRD is a relational database management system, which is often compared with other databases like Microsoft SQL Server, Oracle Database or MySQL.', 'The Ember Data library is a REST API client for Ember.js.', 'Firebird, formerly known as InterBase and Firebird 2.5 (in the first version']"
What is caused by the human immunodeficiency virus?,"AIDS /aɪ d s / (acquired immunodeficiency syndrome) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV).","['Human immunodeficiency virus (HIV) is a lentivirus (slowly', 'The virus can cause acquired immunodeficiency syndrome (AIDS), which can take years to develop.', 'Infected humans can transmit HIV through the exchange of body fluids, most commonly anal, vaginal, and oral intercourse (with condom use), but also through contact with contaminated blood from injuries, the sharing']"
When was the first Mary Poppins book written,Mary Poppins is a series of children's books written by English children's author P. L. Travers and illustrated by Mary Shepard. The books began publication in 1934.,"[""The Mary Poppins series consists of eight children's books by the English author P. L. Travers, published over the course of 22 years from 1934."", ""Mary Poppins is a fictional character and the protagonist and title character of P. L. Travers' Mary Poppins series of children's books."", ""Mary Poppins is a series of children's books written by P. L. Travers and the basis for Walt Disney's 1964 musical film and 2018 live action film of the same name.""]"
what is sims language,Simlish is a language used in the electronic game The Sims and its sequel The Sims 2.,"['Simlish is the fictional language used in The Sims franchise.', 'The Sims language is a simulation tool that allows you to create your own virtual world.', ""SIMS Language Services, LLC is a multi-service translation and localization agency providing full range of language solutions to the corporate world's biggest brands in more than 260 language combinations.""]"
what is the function of the vas deferens?,"A Vas deferens ( plural vas deferens, Latin for ""tube that defers""), also known as sperm duct and deferent duct, is a tube in the male reproductive tract.","['The uterus or womb is a major female reproductive organ of the mammal', 'The vas deferens (singular: vas deferens) are tubes that carry sperm out of each testicle (testis).', 'Sperm travel along the urethra and exit the penis through the pair of narrow tubes known as the external and internal urethral canals.']"
What is Ischemia or infarction?,"Myocardial infarction ( MI), commonly known as a heart attack, occurs when blood flow decreases or stops to a part of the heart muscle.","['Ischemia of the extremities, particularly the fingers and the toes, may be severe enough', 'The presence of atherosclerotic vessels in the lower extremities is called lower extremity peri', ""It's pretty clear: Infarction, also called ischemic colitis, is a pathologic process caused by insufficient blood supply.""]"
What is Ischemia or infarction?,"Myocardial infarction ( MI), commonly known as a heart attack, occurs when blood flow decreases or stops to a part of the heart muscle.","[""Ischemic disease or atheromatous disease occurs in one of the body's"", 'Ischemia, also referred to as myocardial ischemia ; arterial insuficiency; coronary insufficiency, coronary malperfusion, and coronary heart disease is a medical condition in which the', 'Ischemia, also called tissue ischemia or (mainly in historical contexts) by its archaic name gangrene and infarction refer to non-exercisable blood flow within the tissue of a living organ']"
